date,tube,location,type,notes
20240809,1,Halstead Bridge,strip,strip 8
20240809,2,Lumis,strip,strip 43
20240809,3,Setson,strip,strip 40 on anchor
20240809,4,Arnold's Slip,strip,strip 47
20240809,5,Ashland,strip,12 ft deep on chain
20240809,6,Damen,strip,12 ft deep
20240809,7,I94 or Bubby Creek N,strip,5 ft
20240809,8,Bubble Creek Center,strip,5 ft
20240809,9,South Bubbly Creek,strip,6-7 ft
20241016,1,Lake Shore Drive,strip,
20241016,2,Wabash,strip,
20241016,3,Franklin Orleans,strip,
20241016,4,Kinzie,strip,
20241016,5,Ohio,strip,
20241016,6,Chicago,strip,
20241016,7,Pingtom,strip,
