date,sample.tube,location,type,notes,year,project
8/9/24,1,Halstead Bridge,strip,strip 8,2024,kayak
8/9/24,2,Lumis,strip,strip 43,2024,kayak
8/9/24,3,Setson,strip,strip 40 on anchor,2024,kayak
8/9/24,4,Arnold's Slip,strip,strip 47,2024,kayak
8/9/24,5,Ashland,strip,12 ft deep on chain,2024,kayak
8/9/24,6,Damen,strip,12 ft deep,2024,kayak
8/9/24,7,I94 or Bubby Creek N,strip,5 ft,2024,kayak
8/9/24,8,Bubble Creek Center,strip,5 ft,2024,kayak
8/9/24,9,South Bubbly Creek,strip,6-7 ft,2024,kayak
10/16/24,1,Lake Shore Drive,strip,,2024,kayak
10/16/24,2,Wabash,strip,,2024,kayak
10/16/24,3,Franklin Orleans,strip,,2024,kayak
10/16/24,4,Kinzie,strip,,2024,kayak
10/16/24,5,Ohio,strip,,2024,kayak
10/16/24,6,Chicago,strip,,2024,kayak
10/16/24,7,Pingtom,strip,,2024,kayak
