date,time,location,sample.id,notes,year,type,project
5/17/24,1:30 PM,35th Bridge,T1,"not 100% sure on date, 120 ml",2024,sterivex,kayak
5/17/24,,Turning Basin,T2,150 ml,2024,sterivex,kayak
5/17/24,3:20 PM,Stetonson's Slip,T3,150 ml,2024,sterivex,kayak
5/23/24,12:30 PM,35th Bridge,T4,120 ml,2024,sterivex,kayak
5/23/24,,Turning Basin,T5,120 ml,2024,sterivex,kayak
5/23/24,,Arnold's Slip,T6,120 ml Dammit took wrong slip,2024,sterivex,kayak
6/5/24,1:04 AM,35th Bridge,T7,120 ml,2024,sterivex,kayak
6/5/24,1:56 PM,Turning Basin,T8,120 ml,2024,sterivex,kayak
6/5/24,2:21 PM,Arnold's Slip,T9,120 ml,2024,sterivex,kayak
6/5/24,3:11 PM,Stetonson's Slip,T10,120 ml longslip,2024,sterivex,kayak
6/21/24,12:30 PM,35th Bridge,T11,120 ml,2024,sterivex,kayak
6/21/24,1:22 PM,Turning Basin,T12,120 ml,2024,sterivex,kayak
6/21/24,1:45 PM,Arnold's Slip,T13,120 ml,2024,sterivex,kayak
6/26/24,12:41 PM,35th Bridge,T14,120 ml,2024,sterivex,kayak
6/26/24,1:35 PM,Turning Basin,T15,120 ml,2024,sterivex,kayak
6/26/24,1:57 PM,Arnold's Slip,T16,120 ml,2024,sterivex,kayak
6/26/24,2:00 PM,Arnold's Slip,T17,120 ml odd brown algal bloom front 1/2 of slip,2024,sterivex,kayak
6/26/24,2:47 PM,Stetonson's Slip,T18,120 ml,2024,sterivex,kayak
7/1/24,11:57 AM,35th Bridge,T19,120 ml,2024,sterivex,kayak
7/1/24,1:40 PM,Turning Basin,T20,,2024,sterivex,kayak
7/1/24,2:12 PM,Arnold's Slip,T21,,2024,sterivex,kayak
7/1/24,2:53 PM,Stetonson's Slip,T22,,2024,sterivex,kayak
7/11/24,11:20 AM,35th Bridge,T23,,2024,sterivex,kayak
7/11/24,12:05 PM,Turning Basin,T24,,2024,sterivex,kayak
7/11/24,12:26 PM,Arnold's Slip,T25,,2024,sterivex,kayak
7/11/24,1:13 PM,Stetonson's Slip,T26,,2024,sterivex,kayak
7/11/24,1:20 AM,Stetonson's Slip,T27,Algae clouds,2024,sterivex,kayak
7/18/24,11:38 AM,35th Bridge,T28,,2024,sterivex,kayak
7/18/24,12:15 PM,Turning Basin,T29,,2024,sterivex,kayak
7/18/24,12:44 PM,Arnold's Slip,T30,,2024,sterivex,kayak
7/18/24,2:00 PM,Stetonson's Slip,T31,,2024,sterivex,kayak
8/6/24,11:27 AM,35th Bridge,T32,,2024,sterivex,kayak
8/6/24,12:15 PM,Turning Basin,T33,,2024,sterivex,kayak
8/6/24,12:44 PM,Arnold's Slip,T34,,2024,sterivex,kayak
8/6/24,1:17 PM,Stetonson's Slip,T35,Very green,2024,sterivex,kayak
8/7/24,11:33 PM,35th Bridge,T36,,2024,sterivex,kayak
8/7/24,12:29 PM,Turning Basin,T37,,2024,sterivex,kayak
8/7/24,12:58 PM,Arnold's Slip,T38,,2024,sterivex,kayak
8/7/24,1:34 PM,Stetonson's Slip,T39,no algae,2024,sterivex,kayak
8/12/24,11:24 AM,Stetonson's Slip,T40,,2024,sterivex,kayak
8/12/24,12:20 PM,35th Bridge,T41,,2024,sterivex,kayak
8/12/24,12:39 PM,Turning Basin,T42,,2024,sterivex,kayak
8/12/24,12:42 PM,Arnold's Slip,T43,back where algae was,2024,sterivex,kayak
8/12/24,1:30 PM,Stetonson's Slip,T44,algae bloom,2024,sterivex,kayak
8/19/24,11:35 AM,35th Bridge,T45,,2024,sterivex,kayak
8/19/24,12:36 PM,Turning Basin,T46,,2024,sterivex,kayak
8/19/24,12:36 PM,Arnold's Slip,T47,time likely wrong,2024,sterivex,kayak
8/19/24,1:41 PM,Stetonson's Slip,T48,,2024,sterivex,kayak
8/29/24,11:52 AM,35th Bridge,T49,,2024,sterivex,kayak
8/29/24,12:45 PM,Turning Basin,T50,,2024,sterivex,kayak
8/29/24,1:04 PM,Arnold's Slip,T51,,2024,sterivex,kayak
8/29/24,1:48 PM,Stetonson's Slip,T52,,2024,sterivex,kayak
9/3/24,12:24 PM,35th Bridge,T53,,2024,sterivex,kayak
9/3/24,1:07 PM,Turning Basin,T54,,2024,sterivex,kayak
9/3/24,2:00 PM,Arnold's Slip,T55,,2024,sterivex,kayak
9/3/24,2:30 PM,Stetonson's Slip,T56,,2024,sterivex,kayak
